www.onlinetrade.ru;span;itemprop;price;
spb.oldi.ru;meta;itemprop;price;
www.regard.ru;meta;itemprop;price;
www.dns-shop.ru;div;class;product-buy__price;
www.ipsolution.ru;meta;itemprop;price;
shop.prosv.ru;div;class;prices;
www.imperiatechno.ru;div;class;price-curent
my-shop.ru;div;class;price__base price-black;
a4toner.ru;div;class;product-item-price-current2 mb-1;
argusmaster.ru;div;class;price;
cartrige.ru;span;class;price;
imprints.ru;div;class;price;
kartridgesale.ru;span;class;catalog-detail-item-price;
magstar.ru;span;class;price nowrap;
olvit-shop.ru;div;class;price;
printer-plotter.ru;div;class;product-price;
printgreen.ru;div;class;prices__val prices__val_cool;
printmall.ru;div;class;price;
shopvega.ru;div;class;col-xs-7 big-price;
spb.tze1.ru;div;class;product-card-actions-price;
store-spb.ru;div;class;card-price-block price;
tze1.ru;div;class;product-card-actions-price;
www.argusmaster.ru;div;class;prod-price;
www.fprints.ru;div;class;product_price_value;
www.komus.ru;div;class;product-price__current-price-wrapper ;
www.mrimage.ru;span;itemprop;price;
www.ofitrade.ru;span;class;c-prices__value js-prices_pdv_BASE;
www.toner-pro.ru;div;class;price item_price;
anti-line.com;span;class;woocommerce-Price-amount amount;
bulat-group.ru;div;class;update_price;
citycompany.ru;span;class;good-buy-block-price;
inktop.ru;span;class;price;
kartmaster.ru;span;class;price_value;
kotofoto.ru;span;class;newqpricest;
lenprint.ru;div;class;price;
o-manager.ru;span;class;price;
t-toner.ru;span;class;price nowrap;
nicom-spb.ru;span;class;price_value;
www.officemag.ru;div;class;js-insidelistCardGoods;
